Fetching OPEN conversations (default)...
  429 rate limited, waiting 20s...
  skip=0 got=100 runningTotal=100 reportedCount=999
  skip=100 got=100 runningTotal=200 reportedCount=999
  skip=200 got=100 runningTotal=300 reportedCount=999
  skip=300 got=100 runningTotal=400 reportedCount=999
  skip=400 got=100 runningTotal=500 reportedCount=999
  skip=500 got=100 runningTotal=600 reportedCount=999
  skip=600 got=100 runningTotal=700 reportedCount=999
  skip=700 got=100 runningTotal=800 reportedCount=999
  skip=800 got=100 runningTotal=900 reportedCount=999
  skip=900 got=100 runningTotal=1000 reportedCount=999
  429 rate limited, waiting 31s...
  skip=1000 got=100 runningTotal=1100 reportedCount=999
  skip=1100 got=100 runningTotal=1200 reportedCount=999
  skip=1200 got=100 runningTotal=1300 reportedCount=999
  skip=1300 got=100 runningTotal=1400 reportedCount=999
  skip=1400 got=100 runningTotal=1500 reportedCount=999
  skip=1500 got=100 runningTotal=1600 reportedCount=999
  skip=1600 got=100 runningTotal=1700 reportedCount=999
  skip=1700 got=100 runningTotal=1800 reportedCount=999
  skip=1800 got=100 runningTotal=1900 reportedCount=999
  skip=1900 got=100 runningTotal=2000 reportedCount=999
  429 rate limited, waiting 31s...
  skip=2000 got=100 runningTotal=2100 reportedCount=999
  skip=2100 got=100 runningTotal=2200 reportedCount=999
  skip=2200 got=100 runningTotal=2300 reportedCount=999
  skip=2300 got=100 runningTotal=2400 reportedCount=999
  skip=2400 got=100 runningTotal=2500 reportedCount=999
  skip=2500 got=100 runningTotal=2600 reportedCount=999
  skip=2600 got=100 runningTotal=2700 reportedCount=999
  skip=2700 got=100 runningTotal=2800 reportedCount=999
  skip=2800 got=100 runningTotal=2900 reportedCount=999
  skip=2900 got=100 runningTotal=3000 reportedCount=999
  429 rate limited, waiting 30s...
  skip=3000 got=100 runningTotal=3100 reportedCount=999
  skip=3100 got=100 runningTotal=3200 reportedCount=999
  skip=3200 got=100 runningTotal=3300 reportedCount=999
  skip=3300 got=100 runningTotal=3400 reportedCount=999
  skip=3400 got=100 runningTotal=3500 reportedCount=999
  skip=3500 got=100 runningTotal=3600 reportedCount=999
  skip=3600 got=100 runningTotal=3700 reportedCount=999
  skip=3700 got=100 runningTotal=3800 reportedCount=999
  skip=3800 got=100 runningTotal=3900 reportedCount=999
  skip=3900 got=100 runningTotal=4000 reportedCount=999
  429 rate limited, waiting 29s...
  skip=4000 got=100 runningTotal=4100 reportedCount=999
  skip=4100 got=100 runningTotal=4200 reportedCount=999
  skip=4200 got=100 runningTotal=4300 reportedCount=999
  skip=4300 got=100 runningTotal=4400 reportedCount=999
  skip=4400 got=100 runningTotal=4500 reportedCount=999
  skip=4500 got=100 runningTotal=4600 reportedCount=999
  skip=4600 got=100 runningTotal=4700 reportedCount=999
  skip=4700 got=100 runningTotal=4800 reportedCount=999
  skip=4800 got=100 runningTotal=4900 reportedCount=999
  skip=4900 got=100 runningTotal=5000 reportedCount=999
  429 rate limited, waiting 30s...
  skip=5000 got=100 runningTotal=5100 reportedCount=999
  skip=5100 got=100 runningTotal=5200 reportedCount=999
  skip=5200 got=100 runningTotal=5300 reportedCount=999
  skip=5300 got=100 runningTotal=5400 reportedCount=999
  skip=5400 got=100 runningTotal=5500 reportedCount=999
  skip=5500 got=100 runningTotal=5600 reportedCount=999
  skip=5600 got=100 runningTotal=5700 reportedCount=999
  skip=5700 got=100 runningTotal=5800 reportedCount=999
  skip=5800 got=100 runningTotal=5900 reportedCount=999
  skip=5900 got=100 runningTotal=6000 reportedCount=999
  429 rate limited, waiting 30s...
  skip=6000 got=100 runningTotal=6100 reportedCount=999
  skip=6100 got=100 runningTotal=6200 reportedCount=999
