Conversations to scan: 2786
  progress 25/2786 | matches so far: 0 | errors: 0
  progress 50/2786 | matches so far: 0 | errors: 0
  progress 75/2786 | matches so far: 0 | errors: 0
  progress 100/2786 | matches so far: 0 | errors: 0
  progress 125/2786 | matches so far: 0 | errors: 0
  progress 150/2786 | matches so far: 0 | errors: 0
  progress 175/2786 | matches so far: 0 | errors: 0
  progress 200/2786 | matches so far: 1 | errors: 0
  progress 225/2786 | matches so far: 8 | errors: 0
  progress 250/2786 | matches so far: 9 | errors: 0
  progress 275/2786 | matches so far: 11 | errors: 0
  progress 300/2786 | matches so far: 15 | errors: 0
  progress 325/2786 | matches so far: 18 | errors: 0
  progress 350/2786 | matches so far: 22 | errors: 0
  progress 375/2786 | matches so far: 24 | errors: 0
  progress 400/2786 | matches so far: 26 | errors: 0
  progress 425/2786 | matches so far: 28 | errors: 0
  progress 450/2786 | matches so far: 28 | errors: 0
  progress 475/2786 | matches so far: 31 | errors: 0
  progress 500/2786 | matches so far: 31 | errors: 0
  progress 525/2786 | matches so far: 32 | errors: 0
  progress 550/2786 | matches so far: 32 | errors: 0
  progress 575/2786 | matches so far: 32 | errors: 0
  progress 600/2786 | matches so far: 33 | errors: 0
  progress 625/2786 | matches so far: 49 | errors: 0
  progress 650/2786 | matches so far: 50 | errors: 0
  progress 675/2786 | matches so far: 50 | errors: 0
  progress 700/2786 | matches so far: 57 | errors: 0
  progress 725/2786 | matches so far: 61 | errors: 0
  progress 750/2786 | matches so far: 62 | errors: 0
  progress 775/2786 | matches so far: 67 | errors: 0
  progress 800/2786 | matches so far: 68 | errors: 0
  progress 825/2786 | matches so far: 68 | errors: 0
  progress 850/2786 | matches so far: 68 | errors: 0
  progress 875/2786 | matches so far: 68 | errors: 0
  progress 900/2786 | matches so far: 69 | errors: 0
  progress 925/2786 | matches so far: 69 | errors: 0
  progress 950/2786 | matches so far: 69 | errors: 0
  progress 975/2786 | matches so far: 69 | errors: 0
  progress 1000/2786 | matches so far: 69 | errors: 0
  progress 1025/2786 | matches so far: 69 | errors: 0
  progress 1050/2786 | matches so far: 69 | errors: 0
  progress 1075/2786 | matches so far: 69 | errors: 0
  progress 1100/2786 | matches so far: 69 | errors: 0
  progress 1125/2786 | matches so far: 69 | errors: 0
  progress 1150/2786 | matches so far: 69 | errors: 0
  progress 1175/2786 | matches so far: 69 | errors: 0
  progress 1200/2786 | matches so far: 69 | errors: 0
  progress 1225/2786 | matches so far: 69 | errors: 0
  progress 1250/2786 | matches so far: 69 | errors: 0
  progress 1275/2786 | matches so far: 69 | errors: 0
  progress 1300/2786 | matches so far: 69 | errors: 0
  progress 1325/2786 | matches so far: 69 | errors: 0
  progress 1350/2786 | matches so far: 69 | errors: 0
  progress 1375/2786 | matches so far: 69 | errors: 0
  progress 1400/2786 | matches so far: 69 | errors: 0
  progress 1425/2786 | matches so far: 69 | errors: 0
  progress 1450/2786 | matches so far: 69 | errors: 0
  progress 1475/2786 | matches so far: 69 | errors: 0
  progress 1500/2786 | matches so far: 69 | errors: 0
  progress 1525/2786 | matches so far: 69 | errors: 0
  progress 1550/2786 | matches so far: 69 | errors: 0
  progress 1575/2786 | matches so far: 69 | errors: 0
  progress 1600/2786 | matches so far: 69 | errors: 0
  progress 1625/2786 | matches so far: 69 | errors: 0
  progress 1650/2786 | matches so far: 69 | errors: 0
  progress 1675/2786 | matches so far: 69 | errors: 0
  progress 1700/2786 | matches so far: 69 | errors: 0
  progress 1725/2786 | matches so far: 69 | errors: 0
  progress 1750/2786 | matches so far: 69 | errors: 0
  progress 1775/2786 | matches so far: 69 | errors: 0
  progress 1800/2786 | matches so far: 69 | errors: 0
  progress 1825/2786 | matches so far: 69 | errors: 0
  progress 1850/2786 | matches so far: 69 | errors: 0
  progress 1875/2786 | matches so far: 69 | errors: 0
  progress 1900/2786 | matches so far: 69 | errors: 0
  progress 1925/2786 | matches so far: 69 | errors: 0
  progress 1950/2786 | matches so far: 69 | errors: 0
  progress 1975/2786 | matches so far: 69 | errors: 0
  progress 2000/2786 | matches so far: 69 | errors: 0
  progress 2025/2786 | matches so far: 69 | errors: 0
  progress 2050/2786 | matches so far: 69 | errors: 0
  progress 2075/2786 | matches so far: 69 | errors: 0
  progress 2100/2786 | matches so far: 69 | errors: 0
  progress 2125/2786 | matches so far: 69 | errors: 0
  progress 2150/2786 | matches so far: 69 | errors: 0
  progress 2175/2786 | matches so far: 69 | errors: 0
  progress 2200/2786 | matches so far: 69 | errors: 0
  progress 2225/2786 | matches so far: 69 | errors: 0
  progress 2250/2786 | matches so far: 69 | errors: 0
  progress 2275/2786 | matches so far: 69 | errors: 0
